t,A_T0,A_T1,A_T2,B_T0,B_T1,B_T2,C_T0,C_T1,C_T2,A_u0,A_u1,A_u2,B_u0,B_u1,B_u2,C_u0,C_u1,C_u2
354,39.652118040176646,39.24076441025644,38.83005382798232,38.83153509938735,39.24076441029055,39.65063676873749,9.00403634707969,9.004035994767097,9.004035642454511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,39.433887176640454,39.04508227328686,38.656821234300956,38.65822142365908,39.045082273315714,39.432486987253476,8.959128510921014,8.959128177893358,8.95912784486571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,39.217866557293135,38.85037117061705,38.483335762998884,38.48465930859066,38.85037117064146,39.216543011676954,8.914444654489028,8.91444433969069,8.914444024892356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
357,39.003983507030604,38.65662702027672,38.30965956569022,38.310910662853,38.656627020297364,39.002732409847184,8.869983660627668,8.869983363060808,8.86998306549395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,38.79216912576858,38.46384564326544,38.13585118884444,38.13703380327064,38.4638456432829,38.79098651132493,8.825744417755583,8.82574413647698,8.825743855198379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,38.58235807697769,38.272022782142585,37.96196576629805,37.963083646605455,38.27202278215735,38.58124019665553,8.781725819838172,8.781725553956239,8.781725288074307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,38.37448838871864,38.08115411673193,37.78805520215328,37.78911189176733,38.081154116744415,38.373431699092116,8.737926766359779,8.73792651503173,8.737926263703681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,38.16850126634965,37.89123527738597,37.614168344446654,37.61516719283225,37.89123527739652,38.1675024179535,8.694346162296014,8.694345924725196,8.69434568715438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,37.96434091614587,37.70226185618645,37.44035114997109,37.44129532324968,37.70226185619538,37.96339674285836,8.650982918086244,8.650982693519612,8.65098246895298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,37.761954379130756,37.5142294163996,37.26664684063326,37.26753933161868,37.51422941640714,37.76106188813778,8.607835949606208,8.607835737331937,8.607835525057668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,37.56129137447361,37.32713350045516,37.09309605172255,37.093939689407584,37.327133500461535,37.56044773678219,8.564904178140791,8.564903977486022,8.564903776831251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,37.36230415185622,37.14096963667723,36.919736972461116,36.92053443098474,37.14096963668262,37.3615066933272,8.522186530356931,8.522186340685632,8.522186151014331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,37.164947352255545,36.9557333449593,36.746605479195274,36.74735928631905,36.95573334496386,37.164193545127205,8.479681938276668,8.479681758987624,8.479681579698578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,36.969177876629224,36.771420141546606,36.5737352615786,36.57444780669914,36.771420141550465,36.968465331504824,8.437389339250336,8.43738916977524,8.437389000300145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,36.77495476202691,36.58802554306343,36.40115794208594,36.401831483808714,36.5880255430667,36.774281220300864,8.395307675929892,8.395307515731549,8.395307355533207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,36.582239064683414,36.405545069901976,36.2289031891858,36.22953986248441,36.40554506990475,36.581602391382035,8.353435896242392,8.353435744813007,8.353435593383624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,36.390993749679744,36.22397424907136,36.05699882448647,36.05760064747003,36.223974249073706,36.39039192669384,8.311772953363583,8.311772810223161,8.31177266708274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,36.201183586785554,36.043308616590046,35.88547092415894,35.88603980446902,36.043308616592036,36.200614706473495,8.270317805691656,8.270317670386476,8.270317535081297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,36.0127750521221,35.86354371949227,35.7143439149271,35.71488165578451,35.863543719493954,36.012237311263014,8.229069416821122,8.229069288922297,8.229069161023471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373,35.82573623530773,35.68467511750805,35.54364066490347,35.54414897082407,35.68467511750947,35.82522792938572,8.18802675551682,8.188026634618938,8.188026513721057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
