t,E_field,E_source_remaining,E_injected_cum,E_leaked_cum,conservation_residual
267,353.6577187484462,0.0,393.46399021749124,39.80627146904509,4.973799150320701e-14
268,353.3438649692117,0.0,393.46399021749124,40.120125248279564,4.263256414560601e-14
269,353.0302897197237,0.0,393.46399021749124,40.43370049776759,7.105427357601002e-14
270,352.71699275280076,0.0,393.46399021749124,40.74699746469054,5.684341886080802e-14
271,352.4039738214808,0.0,393.46399021749124,41.060016396010475,3.552713678800501e-14
272,352.091232679021,0.0,393.46399021749124,41.372757538470296,5.684341886080802e-14
273,351.7787690788974,0.0,393.46399021749124,41.68522113859388,6.394884621840902e-14
274,351.4665827748049,0.0,393.46399021749124,41.99740744268641,8.526512829121202e-14
275,351.15467352065696,0.0,393.46399021749124,42.30931669683439,9.947598300641403e-14
276,350.84304107058534,0.0,393.46399021749124,42.620949146905986,8.526512829121202e-14
277,350.53168517894017,0.0,393.46399021749124,42.93230503855115,7.105427357601002e-14
278,350.22060560028945,0.0,393.46399021749124,43.243384617201876,7.815970093361102e-14
279,349.90980208941903,0.0,393.46399021749124,43.55418812807229,7.815970093361102e-14
280,349.59927440133237,0.0,393.46399021749124,43.86471581615893,4.973799150320701e-14
281,349.2890222912504,0.0,393.46399021749124,44.17496792624092,4.973799150320701e-14
282,348.9790455146112,0.0,393.46399021749124,44.484944702880135,7.815970093361102e-14
283,348.6693438270699,0.0,393.46399021749124,44.79464639042143,7.815970093361102e-14
284,348.3599169844985,0.0,393.46399021749124,45.104073232992796,6.394884621840902e-14
285,348.0507647429857,0.0,393.46399021749124,45.41322547450564,7.105427357601002e-14
286,347.7418868588365,0.0,393.46399021749124,45.72210335865479,4.263256414560601e-14
287,347.4332830885724,0.0,393.46399021749124,46.030707128918905,7.105427357601002e-14
288,347.12495318893076,0.0,393.46399021749124,46.33903702856052,3.552713678800501e-14
289,346.816896916865,0.0,393.46399021749124,46.64709330062631,7.105427357601002e-14
290,346.50911402954404,0.0,393.46399021749124,46.954876187947235,2.842170943040401e-14
291,346.20160428435247,0.0,393.46399021749124,47.262385933138795,2.1316282072803006e-14
292,345.89436743889013,0.0,393.46399021749124,47.569622778601136,2.1316282072803006e-14
293,345.58740325097193,0.0,393.46399021749124,47.876586966519326,1.4210854715202004e-14
294,345.28071147862784,0.0,393.46399021749124,48.18327873886348,7.105427357601002e-14
295,344.9742918801023,0.0,393.46399021749124,48.48969833738899,7.105427357601002e-14
296,344.66814421385465,0.0,393.46399021749124,48.79584600363665,4.973799150320701e-14
297,344.36226823855833,0.0,393.46399021749124,49.10172197893295,3.552713678800501e-14
298,344.05666371310105,0.0,393.46399021749124,49.40732650439024,4.263256414560601e-14
299,343.7513303965844,0.0,393.46399021749124,49.712659820906865,4.263256414560601e-14
300,343.44626804832393,0.0,393.46399021749124,50.017722169167364,4.973799150320701e-14
301,343.1414764278486,0.0,393.46399021749124,50.32251378964268,3.552713678800501e-14
302,342.8369552949009,0.0,393.46399021749124,50.62703492259041,8.526512829121202e-14
