step,time_ms,met_act,hc_release,aff_r_v,aff_i_v,enc_r_act,col_act,mot_act,enc_r_energy,col_energy,mot_energy,enc_r_heat,col_heat,mot_heat,aff_r_spikes,aff_i_spikes,mot_spikes
119,119.00000000000001,0.016225923565988176,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
120,120.0,0.016497187283544056,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
121,121.0,0.01677064480400766,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
122,122.0,0.017046294789622007,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
123,123.0,0.01732413590325719,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
124,124.0,0.017604166808410086,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
125,125.0,0.01788638616920413,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
126,126.0,0.018170792650388998,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
127,127.0,0.018457384917340364,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
128,128.0,0.018746161636059622,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
129,129.0,0.019037121473173636,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
130,130.0,0.01933026309593444,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
131,131.0,0.019625585172218997,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
132,132.0,0.019923086370528913,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
133,133.0,0.02022276535999018,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
134,134.0,0.020524620810352903,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
135,135.0,0.020828651391991033,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
136,136.0,0.0211348557759021,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
137,137.0,0.021443232633706944,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
138,138.0,0.021753780637649447,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
139,139.0,0.022066498460596266,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
140,140.0,0.02238138477603656,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
141,141.0,0.022698438258081738,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
142,142.00000000000003,0.023017657581465182,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
143,143.00000000000003,0.02333904142154197,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
144,144.00000000000003,0.02366258845428863,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
145,145.0,0.02398829735630286,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
146,146.0,0.02431616680480326,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
147,147.0,0.024646195477629067,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
148,148.0,0.0249783820532399,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
149,149.0,0.02531272521071547,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
150,150.0,0.02564922362975534,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
151,151.0,0.025987875990678644,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
152,152.0,0.02632868097442382,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
153,153.0,0.02667163726254835,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
154,154.0,0.02701674353722848,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
155,155.0,0.027363998481258985,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
156,156.0,0.027713400778052878,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
157,157.0,0.028064949111641143,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
158,158.0,0.028418642166672482,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
159,159.0,0.028774478628413043,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
160,160.0,0.029132457182746162,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
161,161.0,0.029492576516172084,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
162,162.0,0.029854835315807716,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
163,163.0,0.030219232269386345,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
164,164.0,0.03058576606525738,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
165,165.0,0.03095443539238609,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
166,166.0,0.03132523894035335,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
167,167.0,0.03169817539935534,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
168,168.0,0.032073243460203335,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
169,169.0,0.032450441814323376,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
170,170.0,0.03282976915375607,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
