path,owner_class,value,category
s1.adx.collector._mitosis_counter,Neuron,0,DYNAMIC_CAUSAL
s1.adx.collector._split_count,Neuron,0,DYNAMIC_CAUSAL
s1.adx.collector._apoptosis_counter,Neuron,0,DYNAMIC_CAUSAL
s1.adx.bundle.config.bundle_inertia,BundleConfig,1.0,DYNAMIC_CAUSAL
s1.adx.bundle.config.initial_weight,BundleConfig,0.3,STATIC_PARAMETER
s1.adx.bundle.config.stdp_lr,BundleConfig,0.01,DYNAMIC_CAUSAL
s1.adx.bundle.config.weight_min,BundleConfig,0.0,DYNAMIC_CAUSAL
s1.adx.bundle.config.weight_max,BundleConfig,0.3,STATIC_PARAMETER
s1.adx.bundle.config.physical_seed,BundleConfig,91000,STATIC_PARAMETER
s1.adx.bundle.config.synapse_gain,BundleConfig,1.0,STATIC_PARAMETER
s1.adx.bundle.config.delay_steps,BundleConfig,0,DYNAMIC_CAUSAL
s1.adx.bundle.config.xin_tension,BundleConfig,0.0,DYNAMIC_CAUSAL
s1.adx.bundle.config.fruit_tension_at_birth,BundleConfig,0.0,DYNAMIC_CAUSAL
s1.adx.bundle.config.fruit_threshold,BundleConfig,0.5,DYNAMIC_CAUSAL
s1.adx.bundle.config.plasticity_by_stage[0],BundleConfig,0.18,DYNAMIC_CAUSAL
s1.adx.bundle.config.plasticity_by_stage[1],BundleConfig,0.01,DYNAMIC_CAUSAL
s1.adx.bundle.config.plasticity_by_stage[2],BundleConfig,0.001,DYNAMIC_CAUSAL
s1.adx.bundle.config.decay_rate_by_stage[0],BundleConfig,0.025,DYNAMIC_CAUSAL
s1.adx.bundle.config.decay_rate_by_stage[1],BundleConfig,0.005,DYNAMIC_CAUSAL
s1.adx.bundle.config.decay_rate_by_stage[2],BundleConfig,0.001,DYNAMIC_CAUSAL
s1.adx.bundle.config.remodel_cost_kappa,BundleConfig,0.0,DYNAMIC_CAUSAL
s1.adx.bundle.config.coupler_capacitance,BundleConfig,0.0,DYNAMIC_CAUSAL
s1.adx.bundle.config.coupler_r_leak,BundleConfig,2.0,DYNAMIC_CAUSAL
s1.adx.bundle.config.coupler_v_clamp,BundleConfig,2.0,DYNAMIC_CAUSAL
s1.adx.bundle.config.coupler_adapt_vth,BundleConfig,0.0,DYNAMIC_CAUSAL
s1.adx.bundle.config.coupler_adapt_gm,BundleConfig,0.0,DYNAMIC_CAUSAL
